x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES
77.12069154,34.68671965,0,42165,27669,90900,Building Existing,156.2404945,1433.354462,2006,11128,1,1,2021,103360,6,Waterfront River/Creek,1983,NONE,2,1436,Single Family,Cedar/Redwood/Cypress,A18,A18,Single Family
77.23815974,34.68851726,0,42166,27670,90901,Building Existing,191.8976725,2148.022389,2006,50605,1,1,2021,686781,33,Commercial,2008,NONE,1,1266,Single Family,Aluminum/Vinyl, A82,A82,Single Family
77.21415042,34.68814382,0,42169,27671,90905,Building Existing,194.9816047,1936.032701,2006,38857,1,1,2021,87080,1,Residential,1992,NONE,1,1125,Single Family,Aluminum/Vinyl,A2,A2,Single Family
77.12392553,34.68679574,0,42170,27672,90906,Building Existing,221.3856753,1957.579465,2006,9445,1,1,2021,75850,1,Residential,1959,NONE,1,1470,Single Family,Aluminum/Vinyl, A10,A10,Single Family
77.13868877,34.68701534,0,42172,27673,90908,Building Existing,188.1318172,1838.151516,2006,45203,1,1,2021,87150,2,Residential,1989,NONE,1,1217,Single Family,Cedar/Redwood/Cypress, A86,A86,Single Family
77.20298738,34.68800408,0,42174,27674,90912,Building Existing,200.5401033,1984.127594,2006,800,1,1,2021,94420,1,Residential,1972,NONE,1,1325,Single Family,Aluminum/Vinyl,A2,A2,Single Family
77.1901909,34.68780136,0,42175,27675,90914,Building Existing,268.2952669,3236.053767,2006,56224,1,1,2021,185410,19,Building Site,2005,NONE,1,2214,Single Family,Aluminum/Vinyl, A102,A102,Single Family
77.20511748,34.68805464,0,42176,27676,90916,Building Existing,186.0766258,1685.705343,2006,16834,1,1,2021,53060,1,Residential,1970,NONE,1,1300,Single Family,Aluminum/Vinyl, A14,A14,Single Family
77.12678475,34.68685919,0,42177,27677,90917,Building Existing,159.6749437,1354.308909,2006,8883,1,1,2021,35800,6,Waterfront River/Creek,1937,NONE,1,976,Single Family,"Frame Siding, Plywood", A14,A14,Single Family
77.19469471,34.68790748,0,42178,27678,90918,Building Existing,142.0093418,1132.614975,2006,57979,1,2,2021,41680,19,Building Site,2000,NONE,1,968,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH
77.1230611,34.68680519,0,42179,27679,90919,Building Existing,166.5759793,1371.460204,2006,21755,1,1,2021,54190,1,Residential,1959,NONE,1,1008,Single Family,Aluminum/Vinyl, A106,A106,Single Family
77.21560761,34.68822079,0,42181,27680,90921,Building Existing,164.1858416,1435.202106,2006,25974,1,1,2021,67160,2,Residential,1971,NONE,1,1325,Single Family,Brick Veneer, A98,A98,Single Family
77.50356944,34.69214224,0,42182,27681,90924,Building Existing,200.1249725,1866.53124,2006,65905,1,1,2021,178560,1,Residential,2006,NONE,2,2421,Single Family,Aluminum/Vinyl, A22,A22,Single Family
77.5439677,34.69264237,0,42183,27682,90926,Building Existing,235.0938867,2748.707803,2006,45108,1,1,2021,127270,19,Building Site,1987,NONE,1,2082,Single Family,Brick Veneer, A98,A98,Single Family
77.23558914,34.68851079,0,42184,27683,90927,Building Existing,215.3685083,2210.531541,2006,58712,1,1,2021,124660,1,Residential,1998,NONE,1,1584,Single Family,Aluminum/Vinyl, A106,A106,Single Family
77.12236272,34.68679711,0,42186,27684,90935,Building Existing,223.1368185,2814.737707,2006,7197,1,1,2021,142310,3,Residential,1907,NONE,2,3384,Single Family,Wood Shingle, A22,A22,Single Family
77.5020898,34.69214405,0,42187,27685,90937,Building Existing,188.5393957,1799.34707,2006,65897,1,1,2021,174960,1,Residential,2005,NONE,2,2402,Single Family,Aluminum/Vinyl, A26,A26,Single Family
77.12051111,34.68678482,0,42188,27686,90938,Building Existing,192.6724747,1978.330822,2006,18369,1,1,2021,44260,6,Waterfront River/Creek,1944,NONE,1,1484,Single Family,Aluminum/Vinyl, A110,A110,Single Family
77.12558435,34.68687094,0,42189,27687,90939,Building Existing,243.777842,2285.914788,2006,12508,1,1,2021,72680,1,Residential,1958,NONE,1,1594,Single Family,Aluminum/Vinyl, A70,A70,Single Family
77.12126972,34.68681596,0,42190,27688,90940,Building Existing,164.2675439,1515.263318,2006,13729,1,1,2021,56970,2,Residential,1950,NONE,1,1375,Single Family,"Frame Siding, Plywood", A54,A54,Single Family
77.23869186,34.68859763,0,42191,27689,90942,Building Existing,222.437987,1937.58376,2006,31508,1,1,2021,76270,19,Building Site,1992,NONE,1,1164,Single Family,Siding on Sheathing, A94,A94,Single Family
77.12109169,34.68685672,0,42192,27690,90943,Building Existing,152.661576,1160.27698,2006,11130,1,1,2021,26490,3,Residential,1884,NONE,1,862,Single Family,Aluminum/Vinyl, A78,A78,Single Family
77.20452967,34.68814754,0,42193,27691,90944,Building Existing,152.3496791,1285.92144,2006,29122,1,1,2021,72600,1,Residential,1970,NONE,1,1300,Single Family,Aluminum/Vinyl, A78,A78,Single Family
77.19591532,34.68798955,0,42195,27692,90946,Building Existing,154.3636217,1368.452712,2006,58851,1,2,2021,43240,19,Building Site,1999,NONE,1,1296,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH
77.50025554,34.69215382,0,42196,27693,90948,Building Existing,197.3238356,1959.887588,2006,56927,1,1,2021,99770,1,Residential,1997,NONE,1,1300,Single Family,Aluminum/Vinyl, A102,A102,Single Family
77.20416063,34.68809522,0,42197,27694,90949,Building Existing,191.2672611,1958.082563,2006,1528,1,1,2021,72820,1,Residential,1970,NONE,1,1299,Single Family,Brick Veneer, A94,A94,Single Family
77.20236675,34.68807883,0,42198,27695,90950,Building Existing,194.7594016,1676.693036,2006,27703,1,1,2021,55240,1,Residential,1973,NONE,1,1300,Single Family,Siding on Sheathing, A10,A10,Single Family
77.1237309,34.68690615,0,42200,27696,90953,Building Existing,186.2528992,1683.635306,2006,11156,1,1,2021,61820,1,Residential,1959,NONE,1,1215,Single Family,Aluminum/Vinyl, A70,A70,Single Family
77.12608195,34.68690557,0,42201,27697,90954,Building Existing,222.4000286,2291.20846,2006,25259,1,1,2021,84370,1,Residential,1958,NONE,1,1800,Single Family,Aluminum/Vinyl, A58,A58,Single Family
77.12464229,34.68692603,0,42202,27698,90955,Building Existing,152.3661466,1266.720378,2006,11583,1,1,2021,51580,1,Residential,1958,NONE,1,1150,Single Family,Aluminum/Vinyl, A50,A50,Single Family
