OBJECTID,x,y,Year,STRUCTURET,id,taxval,landuse,yearbuilt,storey,Structures,StrucET,Type,type,Area_m2,Area_ft2
49560,77.41380621,34.80946993,2016,Aluminum/Vinyl,68698,173410,Residential,2006,2,Single Family,Aluminum/Vinyl,Building New,A26,1954.835772,10602.3079
42733,77.43930557,34.76902728,2016,Asbestos Shingle,22414,105770,Residential,1962,2,Single Family,Asbestos Shingle,Building New,A30,314.2753263,22454.14351
105684,77.49343489,34.74474487,2006,Aluminum/Vinyl,39187,141500,Residential,1987,1,Single Family,Aluminum/Vinyl,Building Existing,A14,111.5910912,56889.30246
113002,77.37146958,34.75602768,2006,"Frame Siding, Plywood",49051,151040,Residential,1991,2,Single Family,"Frame Siding, Plywood",Building Existing,A26,209.9849035,23312.06477
60708,77.6334739,34.9132726,2016,Aluminum/Vinyl,71282,167420,Residential,2008,2,Single Family,Aluminum/Vinyl,Building New,A30,93.14925153,15456.13885
38435,77.30653719,34.74731885,2016,Aluminum/Vinyl,154620,233300,Residential,2012,2,Single Family,Aluminum/Vinyl,Building New,A30,2259.168548,16819.29187
43542,77.43544309,34.77341246,2016,Aluminum/Vinyl,1850,131560,Residential,1963,2,Single Family,Aluminum/Vinyl,Building New,A26,243.1386821,11078.36375
26966,77.53068844,34.6873024,2016,Aluminum/Vinyl,72388,195990,Residential,2007,2,Single Family,Aluminum/Vinyl,Building New,A30,1802.164936,16216.6274
112624,77.41387657,34.75602067,2006,Aluminum/Vinyl,160367,58920,Residential,1953,1,Duplex,Aluminum/Vinyl,Building Existing,A14,129.793495,15855.42761
119998,77.43036544,34.76765865,2006,Brick Frame,15633,86840,Residential,1959,1,Single Family,Brick Frame,Building Existing,A14,1465.356673,41371.99107
126191,77.43420573,34.77957302,2006,Asbestos Shingle,28832,101270,Residential,1963,2,Single Family,Asbestos Shingle,Building Existing,A26,1433.595407,12317.62205
46930,77.36513355,34.79247881,2016,Cedar/Redwood/Cypress,46507,76090,Building Site,1930,1,Single Family,Cedar/Redwood/Cypress,Building New,A10,652.2880154,63212.77027
128588,77.39315423,34.78384041,2006,Aluminum/Vinyl,50659,111100,Residential,1991,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1803.921511,7713.769188
138949,77.56183071,34.82587289,2006,Aluminum/Vinyl,59630,117450,Residential,2002,1,Single Family,Aluminum/Vinyl,Building Existing,A58,1710.52772,15741.24061
87811,77.47747182,34.67780005,2006,Aluminum/Vinyl,58485,138000,Residential,1998,1,Single Family,Aluminum/Vinyl,Building Existing,A58,1778.640287,23271.59787
36761,77.52454863,34.74184446,2016,Aluminum/Vinyl,76294,135160,Residential,2010,1,Single Family,Aluminum/Vinyl,Building New,A62,2072.510724,29569.70836
52168,77.40139471,34.8220545,2016,Aluminum/Vinyl,153291,254420,Residential,2011,2,Single Family,Aluminum/Vinyl,Building New,A26,2805.391732,13613.68702
35192,77.18382638,34.72790284,2016,Aluminum/Vinyl,156674,255670,Residential,2013,2,Single Family,Aluminum/Vinyl,Building New,A26,2649.814216,66010.42411
130081,77.3643314,34.78700609,2006,Siding on Sheathing,1405,87960,Residential,1982,1,Single Family,Siding on Sheathing,Building Existing,A14,2014.650896,16477.97747
48666,77.45914626,34.80544483,2016,Aluminum/Vinyl,2054,122090,Residential,1976,1,Single Family,Aluminum/Vinyl,Building New,A14,80.63692196,15392.42233
88349,77.21184179,34.67720284,2006,ALUMINUM/VINYL,29739,82610,Building Site,1994,1,Multi-Section MH,ALUMINUM/VINYL,Building Existing,B35,1722.182314,26360.6395
23381,77.37923136,34.55741429,2016,Aluminum/Vinyl,68051,137690,Residential,2006,1,Single Family,Aluminum/Vinyl,Building New,A58,1868.467275,16676.60398
37122,77.36519817,34.74235829,2016,"ALUMINUM,VINYL",73157,55000,Building Only (No Land),2008,2,Condominium,"ALUMINUM,VINYL",Building New,C24,2937.501741,620.2620018
70379,77.28167362,34.79033236,2016,Brick Veneer,3990,72990,Building Site,1979,1,Single Family,Brick Veneer,Building Modified,A14,1493.462713,20790.7658
69497,77.43081853,34.77541057,2016,Aluminum/Vinyl,7562,138900,Residential,1960,1,Single Family,Aluminum/Vinyl,Building Modified,A14,3106.50474,14085.8239
22519,77.4024953,34.54562629,2016,,36238,534870,Building Site,0,1,PUBLIC BUILDINGS,,Building New,E6,238.549695,63678.81957
51662,77.51548757,34.82038724,2016,Aluminum/Vinyl,66932,169910,Residential,2006,2,Single Family,Aluminum/Vinyl,Building New,A26,94.76895875,41533.68888
60662,77.52232046,34.91142752,2016,ALUMINUM/VINYL,73936,86120,Residential,2008,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,2152.010679,20091.46614
103107,77.50869834,34.73755794,2006,Aluminum/Vinyl,15324,90290,Building Site,1952,1,Single Family,Aluminum/Vinyl,Building Existing,A14,201.2965999,34318.07282
42521,77.32504615,34.7664586,2016,Aluminum/Vinyl,151067,235000,Residential,2015,2,Single Family,Aluminum/Vinyl,Building New,A22,1808.270078,20461.02108
58455,77.24350178,34.87871811,2016,ALUMINUM/VINYL,32543,109470,Residential,2004,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,914.3264953,114276.3035
79982,77.38257059,34.53131262,2006,Aluminum/Vinyl,47695,148950,Residential,1994,1,Single Family,Aluminum/Vinyl,Building Existing,A58,2546.938668,19605.41158
33698,77.23190325,34.72000991,2016,ALUMINUM/VINYL,48615,81520,Residential,2003,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,124.6983714,31572.7357
